fecha,cita,resumen
2025-01-01," Lc 2,16-21","«Los pastores fueron a toda prisa, y encontraron a María y a José, y al Niño acostado en el pesebre» Hoy, la Iglesia con..."
2025-01-02," Jn 1,19-28","«En medio de vosotros está uno (…) que viene detrás de mí» Hoy, en el Evangelio de la liturgia eucarística, leemos el te..."
2025-01-03," Jn 1,29-34","«Yo le he visto y doy testimonio de que éste es el Elegido de Dios» Hoy, san Juan Bautista da testimonio sobre el Bautis..."
2025-01-04," Jn 1,35-42","«‘Maestro, ¿dónde vives?’. Les respondió: ‘Venid y lo veréis’» Hoy, el Evangelio nos recuerda las circunstancias de la v..."
2025-01-05," Jn 1,1-18","«Y la Palabra se hizo carne, y puso su morada entre nosotros, y hemos contemplado su gloria» Hoy, el Evangelio de Juan s..."
2025-01-06," Mt 2,1-12","«Entraron en la casa; vieron al Niño con María su madre y, postrándose, le adoraron» Hoy, el profeta Isaías nos anima: «..."
2025-01-07," Mt 4,12-17.23-25","«El Reino de los cielos está cerca» Hoy, por así decirlo, recomenzamos. El «Pueblo que estaba sentado en tinieblas, vio ..."
2025-01-08," Mc 6, 34-44","«Porque eran como ovejas que no tienen pastor» Hoy, Jesús nos muestra que Él es sensible a las necesidades de las person..."
2025-01-09," Mc 6,45-52","«Después de despedirse de ellos, se fue al monte a orar» Hoy, contemplamos cómo Jesús, después de despedir a los Apóstol..."
2025-01-10," Lc 4,14-22","«El Espíritu del Señor está sobre mí, porque me ha ungido» Hoy recordamos que «quien ama Dios, ame también a su hermano»..."
2025-01-11," Lc 5,12-16","«Su fama se extendía cada vez más» Hoy tenemos una gran responsabilidad en hacer que «su fama» (Lc 5,15) continúe extend..."
2025-01-12," Lc 3,15-16.21-22","«Tú eres mi hijo; el Amado, en ti me he complacido» Hoy contemplamos a Jesús ya adulto. El niño del Pesebre se hace un h..."
2025-01-13," Mc 1,14-20","«Convertíos y creed en la Buena Nueva» Hoy, el Evangelio nos invita a la conversión. «Convertíos y creed en la Buena Nue..."
2025-01-14," Mc 1,21-28","«Quedaban asombrados de su doctrina, porque les enseñaba como quien tiene autoridad, y no como los escribas» Hoy, primer..."
2025-01-15," Mc 1,29-39","«De madrugada, cuando todavía estaba muy oscuro, se levantó, salió y fue a un lugar solitario y allí se puso a hacer ora..."
2025-01-16," Mc 1,40-45","«‘Si quieres, puedes limpiarme’ (...). ‘Quiero; queda limpio’» Hoy, durante nuestro tiempo diario de oración deseamos y ..."
2025-01-17," Mc 2,1-12","«Hijo, tus pecados te son perdonados (...). A ti te digo, levántate, toma tu camilla y vete a tu casa» Hoy vemos nuevame..."
2025-01-18," Mc 2,13-17","«No he venido a llamar a justos, sino a pecadores» Hoy, en la escena que relata san Marcos, vemos cómo Jesús enseñaba y ..."
2025-01-19," Jn 2,1-12","«Estaba allí la madre de Jesús. Fue invitado también a la boda Jesús con sus discípulos» Hoy, contemplamos los efectos s..."
2025-01-20," Mc 2,18-22","«¿Pueden acaso ayunar los invitados a la boda mientras el novio está con ellos?» Hoy comprobamos cómo los judíos, además..."
2025-01-21," Mc 2,23-28","«El sábado ha sido instituido para el hombre y no el hombre para el sábado» Hoy como ayer, Jesús se las ha de tener con ..."
2025-01-22," Mc 3,1-6","«¿Es lícito en sábado hacer el bien en vez del mal, salvar una vida en vez de destruirla?» Hoy, Jesús nos enseña que hay..."
2025-01-23," Mc 3,7-12","«Le siguió una gran muchedumbre de Galilea. También de Judea, de Jerusalén, de Idumea, del otro lado del Jordán, de los ..."
2025-01-24," Mc 3,13-19","«Jesús subió al monte y llamó a los que Él quiso» Hoy, el Evangelio condensa la teología de la vocación cristiana: el Se..."
2025-01-25," Mc 16,15-18","«Id por todo el mundo y proclamad la Buena Nueva» Hoy, la Iglesia celebra la fiesta de la Conversión de san Pablo, apóst..."
2025-01-26," Lc 1,1-4;4,14-21",«Para que conozcas la solidez de las enseñanzas que has recibido» Hoy comenzamos a escuchar la voz de Jesús a través del...
2025-01-27," Mc 3,22-30","«El que blasfeme contra el Espíritu Santo, no tendrá perdón nunca» Hoy, al leer el Evangelio del día, uno no sale de su ..."
2025-01-28," Mc 3,31-35","«Éstos son mi madre y mis hermanos. Quien cumpla la voluntad de Dios, ése es mi hermano, mi hermana y mi madre» Hoy cont..."
2025-01-29," Mc 4,1-20",«El sembrador siembra la Palabra» Hoy escuchamos de labios del Señor la “Parábola del sembrador”. La escena es totalment...
2025-01-30," Mc 4,21-25","«¿Acaso se trae la lámpara para ponerla debajo del celemín o debajo del lecho?» Hoy, Jesús nos explica el secreto del Re..."
2025-01-31," Mc 4,26-34",«El Reino de Dios es como un hombre que echa el grano (...y) la tierra da el fruto por sí misma» Hoy Jesús habla a la ge...
2025-02-01," Mc 4,35-41","«¿Por qué estáis con tanto miedo? ¿Cómo no tenéis fe?» Hoy, el Señor riñe a los discípulos por su falta de fe: «¿Cómo no..."
2025-02-02," Lc 2,22-40","«Ahora, Señor, puedes, según tu palabra, dejar que tu siervo se vaya en paz; porque han visto mis ojos tu salvación» Hoy..."
2025-02-03," Mc 5,1-20","«Espíritu inmundo, sal de este hombre» Hoy encontramos un fragmento del Evangelio que puede provocar la sonrisa a más de..."
2025-02-04," Mc 5,21-43","«Hija, tu fe te ha salvado; vete en paz y queda curada de tu enfermedad» Hoy el Evangelio nos presenta dos milagros de J..."
2025-02-05," Mc 6,1-6","«¿De dónde le viene esto?, y ¿qué sabiduría es ésta que le ha sido dada? ¿Y esos milagros hechos por sus manos?» Hoy el ..."
